aita,cs,attention,gender_studies
0.046255935,0.13491549,0.14921612,-0.014922384
0.06405986,-0.10981794,-0.0119892545,0.04964643
0.07204358,-0.094445296,-0.20212308,0.043473218
-0.2032205,0.027431993,-0.04299976,0.0124219945
-0.011354113,0.017736565,-0.031631842,0.09171945
0.05444957,0.1212973,0.10398222,-0.00893031
-0.1736531,-0.06843606,0.03586684,-0.0738185
-0.22803126,-0.14622173,-0.2346996,-0.20719995
0.07272388,0.11635216,-0.07819041,0.15478212
0.13778001,-0.016617008,0.0131557435,0.071055114
0.09904387,0.11382839,0.03814636,0.16648337
-0.096556306,0.05869624,-0.14833519,0.038398303
0.07798158,0.050909836,-0.1293392,-0.06129758
-0.2216503,-0.04716462,0.085810564,-0.03861739
0.091107294,-0.017123375,0.03788644,0.06434449
-0.035756826,-0.03325338,-0.07283039,-0.08221554
0.0078010755,0.007517197,0.047899105,0.085327536
-0.030673768,-0.024964321,0.1358064,-0.06127268
-0.0676444,-0.03178293,0.22961167,-0.13441285
-0.07810289,-0.09501332,-0.20556185,-0.073194645
-0.17853142,-0.07043477,0.011246286,-0.12811476
0.054302797,-0.21087618,-0.051488034,-0.017868673
-0.10138743,0.038917925,0.046616077,-0.025315385
-0.15796332,-0.13011172,0.033628322,-0.04331147
-0.014666648,0.10860205,0.16958237,0.045627072
0.05243828,0.013086311,0.09140217,-0.026056252
0.01672148,-0.01971464,-0.28229412,0.023140183
-0.10293849,0.1375451,0.1927702,0.102837615
-0.015619581,-0.043455433,0.12451327,0.057827435
-0.16278453,0.077583805,-0.10352971,-0.05779127
-0.003687773,-0.036396593,0.023739425,-0.030825682
-0.067411855,-0.18881093,-0.08490386,-0.23727676
-0.12918533,-0.005292022,-0.12664802,-0.014559639
-0.067254916,-0.08740938,-0.07758527,-0.007061633
-0.26415145,-0.10949164,0.03857655,-0.14664431
0.03752657,0.009825397,-0.11903848,0.088422254
-0.21310048,-0.009293038,-0.053101562,-0.09559787
0.021770002,0.047336802,-0.029564148,0.2366521
-0.14707534,0.0053349277,-0.014340715,-0.052197877
0.09948939,0.12472077,-0.11846567,0.08553959
-0.034698486,-0.02535441,0.19887024,0.0853789
0.05026658,-0.059601728,-0.15150906,-0.062066555
0.059248485,-0.12689297,-0.14740828,0.01965327
-0.16369143,0.09319205,-0.055973783,-0.06095013
-0.11312759,0.06847071,0.05394692,0.003909608
0.004354278,0.11670243,0.058315832,0.092573896
0.05881089,-0.11155251,-0.2393361,-0.03908175
-0.071099535,-0.06344707,-0.13922599,-0.04962264
0.17314562,0.25731498,0.15469319,0.16289748
0.08112928,-0.1360707,-0.1615425,-0.092226125
-0.13014463,-0.03822501,0.122692965,-0.033414815
-0.068579085,-0.09771589,0.046007913,-0.050456267
-0.22125117,0.025685985,-0.010263204,-0.16447501
0.08838952,0.106740914,0.104106754,-0.09547384
-0.15731712,-0.19967973,-0.2366466,-0.30042693
-0.016595857,-0.22852658,-0.19846594,-0.06288017
